Indicator,Year,Scenario,Forecast
ACC_OWNERSHIP,2025,Pessimistic,59.7
ACC_OWNERSHIP,2025,Base,63.7
ACC_OWNERSHIP,2025,Optimistic,67.7
ACC_OWNERSHIP,2026,Pessimistic,62.5
ACC_OWNERSHIP,2026,Base,66.5
ACC_OWNERSHIP,2026,Optimistic,70.5
ACC_OWNERSHIP,2027,Pessimistic,65.3
ACC_OWNERSHIP,2027,Base,69.3
ACC_OWNERSHIP,2027,Optimistic,73.3
ACC_MM_ACCOUNT,2025,Pessimistic,15.8
ACC_MM_ACCOUNT,2025,Base,20.5
ACC_MM_ACCOUNT,2025,Optimistic,25.3
ACC_MM_ACCOUNT,2026,Pessimistic,17.4
ACC_MM_ACCOUNT,2026,Base,22.1
ACC_MM_ACCOUNT,2026,Optimistic,26.9
ACC_MM_ACCOUNT,2027,Pessimistic,18.9
ACC_MM_ACCOUNT,2027,Base,23.7
ACC_MM_ACCOUNT,2027,Optimistic,28.4
