Category,Indicator,Impact
policy,ACC_OWNERSHIP,2.0
policy,ACC_MM_ACCOUNT,1.0
policy,USG_P2P_COUNT,1.5
policy,USG_P2P_VALUE,1.0
product_launch,ACC_OWNERSHIP,3.0
product_launch,ACC_MM_ACCOUNT,5.0
product_launch,USG_P2P_COUNT,4.0
product_launch,USG_P2P_VALUE,3.0
infrastructure,ACC_OWNERSHIP,1.5
infrastructure,ACC_MM_ACCOUNT,0.5
infrastructure,USG_P2P_COUNT,1.0
infrastructure,USG_P2P_VALUE,0.5
market_entry,ACC_OWNERSHIP,2.5
market_entry,ACC_MM_ACCOUNT,3.0
market_entry,USG_P2P_COUNT,2.5
market_entry,USG_P2P_VALUE,2.0
economic_shock,ACC_OWNERSHIP,-1.0
economic_shock,ACC_MM_ACCOUNT,0.0
economic_shock,USG_P2P_COUNT,0.5
economic_shock,USG_P2P_VALUE,0.5
